sampleID,pond,doy,year,time,depth_m,temp_C,do_sat,do_mgl,spcond_uScm,pH,chl_ugl,pc_ugl,
P24-207-S0-C,Strickers,207,2024,10:26,0.25,24.2,167.3,14.03,93.5,9.96,186.74,12.45,
P24-207-S0-C,Strickers,207,2024,10:26,0.5,23.6,145.3,12.28,85.3,9.56,257.93,13.45,
P24-207-S0-C,Strickers,207,2024,10:26,0.75,23.3,112.9,9.81,83.9,9.36,223.87,11.84,
P24-207-T0-C,Tiedemans,207,2024,8:44,0,24.1,184.3,15.49,119.3,10.15,69.98,12.09,
P24-207-T0-C,Tiedemans,207,2024,8:44,0.25,22.9,107.5,9.34,106.6,9.33,167.19,12.45,
P24-207-T0-C,Tiedemans,207,2024,8:44,0.5,22.6,70.5,6.05,104.7,8.61,176.62,12.85,
P24-207-T0-C,Tiedemans,207,2024,8:44,0.75,22.5,49.3,4.26,106.2,7.83,183.97,11.84,
P24-207-T0-C,Tiedemans,207,2024,8:44,1,22.4,40.6,3.52,107.8,7.4,162.55,11.42,
P24-207-W0-C,LakeviewWest,207,2024,11:48,0,28.3,206.9,16.45,74.5,9.75,81.16,4.25,
P24-207-W0-C,LakeviewWest,207,2024,11:48,0.25,25.3,242.5,19.75,88.8,10.09,177.41,7.31,
P24-207-W0-C,LakeviewWest,207,2024,11:48,0.5,23.5,146.5,12.65,67.7,9.05,195.83,8.11,
P24-207-W0-C,LakeviewWest,207,2024,11:48,0.75,23,82.1,7.01,68.1,7.55,252.17,8.55,
P24-207-W0-C,LakeviewWest,207,2024,11:48,1,22.8,45.2,3.87,71.5,9.62,306.12,13.15,
P24-212-09-S,OrchidNorth,212,2024,8:59,0,25,130.2,10.76,222.9,8.85,47.99,0.74,
P24-212-E9-S,Elver,212,2024,12:51,0,29.1,139.5,10.81,94.3,8.05,680.45,36.82,
P24-212-F0-S,Forebay,212,2024,12:10,0,25.3,122.1,10.02,385.6,7.51,34.83,0.61,
P24-212-L9-S,Lakeview,212,2024,9:26,0,25.2,148.1,12.18,483,9.24,5.75,-0.12,
P24-212-M9-S,McKee,212,2024,13:16,0,30.4,142.6,10.69,160.8,8.75,31.65,1.51,
P24-212-S0-S,Strickers,212,2024,11:31,0,28.6,242.9,18.98,128.3,10.39,154.38,10.78,
P24-212-S0-S,Strickers,212,2024,11:31,0.25,26.6,240.7,19.35,125.1,10.35,281.64,15.4,
P24-212-S0-S,Strickers,212,2024,11:31,0.5,25.8,168,13.74,94.3,10.08,339.61,17.06,
P24-212-S0-S,Strickers,212,2024,11:31,0.75,25.2,81.9,6.76,82.8,8.91,484.13,18.07,
P24-212-T0-S,Tiedemans,212,2024,10:56,0,27.9,172.6,13.52,125.1,9.78,105.21,9.42,
P24-212-T0-S,Tiedemans,212,2024,10:56,0.25,25.5,129.3,10.61,114.1,9.45,223.63,15.34,
P24-212-T0-S,Tiedemans,212,2024,10:56,0.5,24.8,54.2,4.5,112.2,8.12,315.09,16.92,
P24-212-T0-S,Tiedemans,212,2024,10:56,0.75,24.6,13.1,1.08,113.3,7.56,476.27,21.81,
P24-212-W0-S,LakeviewWest,212,2024,9:45,0,26.3,89.1,7.16,101.1,8.78,111.32,5.86,
P24-212-W0-S,LakeviewWest,212,2024,9:45,0.25,25.8,78.9,6.37,100.9,8.38,136.57,7.45,
P24-212-W0-S,LakeviewWest,212,2024,9:45,0.5,25.3,37,3.06,101.3,7.45,151.77,7.53,
P24-212-W0-S,LakeviewWest,212,2024,9:45,0.75,25.1,2.6,0.2,102.1,7.05,205.46,8.75,
P24-212-W0-S,LakeviewWest,212,2024,9:45,1,24.9,-1.8,-0.16,103,6.81,231.84,9.53,
P24-218-E9-S,Elver,218,2024,11:49,0,26.4,44.1,3.54,101.1,7.45,42.57,2.39,
P24-218-F0-S,Forebay,218,2024,11:20,0,26.9,102.7,8.18,627,7.18,192.08,7.35,
P24-218-L9-S,Lakeview,218,2024,10:37,0,26.5,89.6,7.15,547,9.02,7.3,0.84,
P24-218-M9-S,McKee,218,2024,10:09,0,27.2,145.9,11.62,167.7,8.85,83.49,10.17,
P24-218-O9-S,OrchidNorth,218,2024,10:18,0,26.8,100.7,8.05,291.1,8.84,17.35,0.69,
P24-218-S9-S,Strickers,218,2024,11:28,0,26.7,33.5,2.77,111.5,7.72,197.56,9.55,
P24-218-T0-S,Tiedemans,218,2024,11:03,0,27.3,107.8,8.65,121.5,9.16,252.82,29.74,
